Post_id,Labels,Dominant Topic,Topic 1,Topic 2,Topic C,,,,,
CyD4BLvRppW,"['forehead', 'nose', 'chin', 'eyebrow', 'jaw', 'beard', 'eyelash', 'happy', 'facial', 'hair', 'font']",Topic C,0.03563837,0.029037088,0.93532455,,,,,
CyCN8YSSBIj,"['water', 'sky', 'cloud', 'short', 'body', 'water', 'fun', 'thigh', 'leisure', 'beach', 'knee']",Topic B,0.028440075,0.94320494,0.02835493,,,,,
CyBotnouUZp,"['water', 'gesture', 'happy', 'sky', 'font', 'poster', 'art', 'leisure', 'fashion', 'design', 'people', 'nature']",Topic B,0.026885068,0.9442593,0.028855653,,,,,
CyBQrMoPhP7,"['clothing', 'outerwear', 'shirt', 'photograph', 'product', 'gesture', 'community', 'engineering', 'eyewear']",Topic A,0.9297684,0.035573747,0.034657855,,,,,
Cx-3lcWPJOS,"['forehead', 'hair', 'face', 'lip', 'chin', 'eyebrow', 'hairstyle', 'shoulder', 'photograph', 'facial', 'expression']",Topic A,0.94031894,0.027948458,0.03173262,,,,,
Cx-mqHfusCv,"['sleeve', 'gesture', 'flash', 'photography', 'fashion', 'design', 'event', 'sharing', 'formal', 'wear', 'conversation', 'entertainment', 'jewellery']",Topic B,0.0253082,0.9470737,0.02761813,,,,,
Cx6Esx-p2wN,"['forehead', 'face', 'hair', 'head', 'lip', 'chin', 'hairstyle', 'eyebrow', 'eye', 'dress', 'shirt']",Topic A,0.75954986,0.028642237,0.2118079,,,,,
Cx4isslua13,"['glass', 'computer', 'vision', 'care', 'personal', 'computer', 'font', 'eyewear', 'output', 'device', 'gadget', 'electronic', 'device', 'display', 'device']",Topic B,0.2675062,0.7111473,0.021346511,,,,,
Cxx6xe9ILMH,"['black', 'publication', 'font', 'poster', 'advertising', 'book', 'cover', 'graphic', 'design', 'fiction', 'movie', 'darkness']",Topic C,0.026467519,0.026504224,0.9470283,,,,,
CxvmCilu6ni,"['lip', 'chin', 'eyebrow', 'hat', 'eye', 'flash', 'photography', 'sun', 'hat', 'headgear', 'fedora', 'eyelash']",Topic A,0.8717485,0.028514927,0.09973661,,,,,
Cxtd7_UPz5F,"['sport', 'uniform', 'jersey', 'american', 'football', 'sport', 'jersey', 'football', 'equipment', 'sport', 'gear', 'sport', 'equipment', 'player', 'super', 'bowl', 'sportswear']",Topic C,0.019002376,0.018882891,0.96211475,,,,,
CxtMpbIJed4,"['font', 'electric', 'blue', 'logo', 'graphic', 'brand', 'screenshot', 'display', 'device', 'horizon', 'darkness', 'multimedia']",Topic C,0.026160879,0.40281975,0.57101935,,,,,
CxsqTkRr9Rv,"['tableware', 'coat', 'font', 'sharing', 'hat', 'table', 'event', 'advertising', 'photo', 'caption', 'conversation']",Topic A,0.49505678,0.4622697,0.042673554,,,,,
CxqkstnvLu9,"['lip', 'shoulder', 'eyebrow', 'eyelash', 'flash', 'photography', 'neck', 'iris', 'wig', 'makeover', 'fashion', 'design']",Topic C,0.027419092,0.02688026,0.94570065,,,,,
Cxn8eVvR7_o,"['water', 'extinction', 'sky', 'cloud', 'boat', 'dinosaur', 'art', 'happy', 'fang', 'font']",Topic B,0.03117498,0.9366883,0.032136727,,,,,
CxlTBDnxPgR,"['forehead', 'nose', 'cheek', 'chin', 'eyebrow', 'mouth', 'eyelash', 'neck', 'jaw', 'ear']",Topic C,0.03290391,0.030403629,0.9366925,,,,,
Cxf_51gxws-,"['forehead', 'nose', 'face', 'hair', 'skin', 'chin', 'photograph', 'eyebrow', 'eye', 'mouth']",Topic A,0.93020576,0.030609524,0.03918473,,,,,
CxenT3lxnY0,"['smile', 'facial', 'expression', 'happy', 'gesture', 'adaptation', 'people', 'nature', 'sharing', 'friendship', 'event', 'font']",Topic B,0.25640416,0.71556145,0.028034355,,,,,
Cxfu84CxATJ,"['eyelash', 'earring', 'makeover', 'fashion', 'design', 'electric', 'blue', 'smile', 'jewellery', 'event', 'fashion', 'model', 'blond']",Topic C,0.025574507,0.027190369,0.9472351,,Average Association,,,Average association of the posts with each topic
CxdehXMRVhp,"['forehead', 'chin', 'hairstyle', 'facial', 'expression', 'human', 'fashion', 'flash', 'photography', 'smile', 'happy', 'beauty']",Topic A,0.9426709,0.028112926,0.029216181,,,,,
